in/out of phase,n,frequency/kHz, fore / kHz,back /kHz,Vpp in / v,Std in / mV,Vpp out / v,Std out / mV,Vout/Vin,k,omega,deltak,deltaomega
out,1,5.794,5.716,5.872,2.035,4.0327,1.866,2.2532,0.916953317,0.078539816,36404.77567,0.078539816,36341.94382
in,2,11.615,11.54,11.69,2.0566,4.704,1.8383,4.7971,0.893853934,0.157079633,72979.19734,0.078539816,36574.42167
out,3,17.29,17.21,17.37,2.0423,4.4394,1.7888,5.0225,0.875875239,0.235619449,108636.274,0.078539816,35657.07662
in,4,22.985,22.91,23.06,2.0388,3.9886,1.7449,4.8951,0.855846576,0.314159265,144419.0143,0.078539816,35782.74032
out,5,28.935,28.87,29,1.951,5.1107,1.6891,4.0964,0.865761148,0.392699082,181803.9669,0.078539816,37384.95258
in,6,34.55,34.48,34.62,2.0696,4.263,1.6348,5.7967,0.789911094,0.471238898,217084.0524,0.078539816,35280.0855
out,7,40.23,40.16,40.3,1.9617,4.4688,1.5833,4.4933,0.807106081,0.549778714,252772.5449,0.078539816,35688.49254
in,8,45.855,45.78,45.93,2.1172,5.4439,1.5359,5.7771,0.725439259,0.628318531,288115.4623,0.078539816,35342.91735
out,9,51.31,51.24,51.38,2.0812,4.7873,1.4844,4.9343,0.71324236,0.706858347,322390.2381,0.078539816,34274.77585
in,10,56.715,56.65,56.78,1.8979,4.704,1.4263,5.6056,0.751514832,0.785398163,356350.8547,0.078539816,33960.61659
out,11,62.3,62.24,62.36,1.9622,4.7971,1.3745,4.5227,0.700489247,0.86393798,391442.4446,0.078539816,35091.58994
in,12,67.32,67.25,67.39,2.096,4.7824,1.336,1.1846,0.63740458,0.942477796,422984.0349,0.078539816,31541.59024
out,13,72.225,72.16,72.29,2.168,4.7383,1.2282,4.4296,0.566512915,1.021017612,453803.0588,0.078539816,30819.02393
in,14,77.92,77.86,77.98,2.0203,4.9049,1.2119,5.2871,0.599861407,1.099557429,489585.7991,0.078539816,35782.74032
out,15,82.56,82.5,82.62,2.1161,4.5766,1.1912,3.8269,0.562922357,1.178097245,518739.779,0.078539816,29153.97983
in,16,87.365,87.29,87.44,2.463,4.508,1.1107,4.8608,0.450954121,1.256637061,548930.4844,0.078539816,30190.7054
out,17,92.005,91.95,92.06,2.0995,4.8069,1.0516,4.0376,0.500881162,1.335176878,578084.4642,0.078539816,29153.97983
in,18,96.63,96.58,96.68,1.9551,5.1401,0.9896,5.5125,0.506163368,1.413716694,607144.1962,0.078539816,29059.73205
out,19,,,,,,,,,,,,
in,20,,,,,,,,,,,,
out,21,,,,,,,,,,,,
in,22,,,,,,,,,,,,
out,23,,,,,,,,,,,,
in,24,,,,,,,,,,,,
out,25,,,,,,,,,,,,
in,26,,,,,,,,,,,,
out,27,,,,,,,,,,,,
in,28,,,,,,,,,,,,
out,29,,,,,,,,,,,,
in,30,,,,,,,,,,,,
